image_url,expected_result
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/cbfb7aef3a3f4944d83ec799011ec683_600.jpg,うまい！うまい！と叫びながら大量に弁当を食べているやつが居る
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b0b5c8cd37511af9fbfe838d6dc92ec2_600.jpg,茶道部へようこそ！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ab4ef74ada807e48479f84fa975ab2d2_600.jpg,おーよしよし戦争は怖いよねー反対だよねー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a9fbf79d100fab737bf03ea54d5aeb91_600.jpg,いやぁ、ツインテールは持ちやすくて助かるなぁ！！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d36d4c30de0e70e47a67a844c01ff70a_600.jpg,我輩と猫である
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9e02a6d8a505c55c94bd6a4096d7d307_600.jpg,オコッテナイカラ・イッテミナサイ(1352〜1395)
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2b48fb031570b0676ace7af196007969_600.jpg,美川憲一さん入られます
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6faa699e65f58c86a1aa470f6a23a58d_600.jpg,お前先輩に対してなんだその乳首は
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/4bc0b48750cb0c590fe40b3e1d9445d9_600.jpg,まもなく運行いたします
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2721d1913c3e1f73902a879c8ebf54ce_600.jpg,看護師の採血がド下手だった
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a5eaf2b2245d651fc08cb845ebe325a8_600.jpg,早く滝浴びて来いよ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e3b9c3c2fd4abde4f18cc57099520a1f_600.jpg,前回までのあらすじ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/1c04608599f5d26279e2926f64c21906_600.jpg,糖類、糖類、糖類
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/7e641f824d7fd1a1aa5a4af66bce6cbc_600.jpg,修学旅行のバスの座席の柄
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/343dab6a4cbcd8eca2cb81785c30549d_600.jpg,私のイメージを壊してるのはあなた達ね
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2c2ae2661ae9f363cccd609b7401d220_600.jpg,クロールの息継ぎ中にお告げが来た
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/82908c09fa5b77318819635a2257e47d_600.jpg,幽体離脱を必死に戻す霊媒師
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d71e3eca3d05e7a6437b76385dff5687_600.jpg,カウンターに案内された後にテーブル席が空いた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ae76a2ec0def38e007c1593cd1a42e3c_600.jpg,おじいちゃんが最悪のタイミングで生き返った
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d45a6d6511532cfe5966b2e26ef00324_600.jpg,合格発表を見に行った兄が帰って来た
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2c09b312a913201ab8f83c2cafa745d8_600.jpg,焼き鳥ソムリエがテイスティング中
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d42bae2bb719ef86c496e6d76444b185_600.jpg,通訳が一人称オラって言ってる気がする
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/39f684d760fb13410cc25787cbcee031_600.jpg,ワカメちゃん今日休んでるみたいだけど何か知ってる？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/f384bf1f46a5fab72e5cf8d077a62a31_600.jpg,あなた、免許返納無事に終わって良かったわね
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ea94b9b39a8ceeed342e1b6edce7befa_600.jpg,遅刻して/誠に/申し訳/ございません
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2fbf473a35b373fe72a030595e63f234_600.jpg,やっとこどもを寝かしつけた瞬間ピンポン押して帰宅してきた旦那
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/91f5233219e06817f912c5a52496615b_600.jpg,会社/家
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/96d09f1d6cd75ba380503a45d7bb058e_600.jpg,遅刻しそうなのになかなか青信号に変わらん！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/553866312a39834ee4e94ead4e8022ee_600.jpg,まってその日俺森の中だわ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6ed7363228ea412fb03261596f113f17_600.jpg,日本のスマホ代についてどう思う？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8e675ae3071e4cb78811118e44f9574c_600.jpg,ドラゴンボール３つで呼び出した
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9c33260c136faae7f34f08d7e283ba1a_600.jpg,イソジン、ロックで。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/f194e895b73c423a4b47f8aabdd6b865_600.jpg,あの野郎、４度目やりやがったな！！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/4cb0202dd8c33da3357a59831017e76e_600.jpg,もう遊べないドン
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2f33f073e0415711e83a111496011d21_600.jpg,俺が完全に猿になる前に伝えておきたい事がウホッウホッウキー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2a1b052d07308b1c3765ef7a7cfa002f_600.jpg,これはまだ人類の尻が２つに割れる前のお話
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/3c0b3260cc0fbb37d5e621e1dd44ecfd_600.jpg,あー怖かった。犬は追っかけてくるから苦手なのよね。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/371bb17385889855be3895f5c8614ead_600.jpg,前のトムソンガゼルを追ってください！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/305fc49c4bac775ef8c0c27052793ddb_600.jpg,不倫相手の家の駐車場に駐車しようとしたら嫁がオーライオーライしてた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2439dcadac40df518a75bf28c6aff7bf_600.jpg,８分くらい舐めたパインアメあげる
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e462292d569472af5d4c525e23290c85_600.jpg,次に口座から盗まれるのは、貴方かもしれません･･･
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2a563de96e6d00a7c6b8b027067f1def_600.jpg,奥の人が一歩リード
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b2e4a3661ac225daf3545b6a56098fa0_600.jpg,「せーので返さへん？」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/fdd548c3f0b88c0bd724f91a87015e14_600.jpg,はい！みんながしずかになるまで先生5分待ちました
